"uni_id","cell_id","video_key","treatment","parent","ancestor","no_data_points","track_length","death_time","survival_time","max_filament_length","max_chromosome_length","max_chromosome_area","diff","avg_protein_load","max_protein_load","post_max_protein_retention","no_protein_bud","bud_produced","row_id"
"6:12","10","6","30","3","0",198,202,212,16.8333333333333,102.358,194.102,"333.089036",0.0198019801980198,2.56363636363636,6,0.457142857142857,0,"NO",195
"6:14","14","6","30","3","0",33,45,51,3.75,71.248,36.112,"69.552932",0.266666666666667,1,1,1,0,"NO",196
"6:14","16","6","30","4","0",50,73,79,6.08333333333333,102.358,110.654,"241.582204",0.315068493150685,1.15625,2,1,0,"NO",197
"6:14","17","6","30","4","0",55,73,79,6.08333333333333,104.432,110.654,"241.582204",0.246575342465753,3.45454545454545,7,0.964285714285714,0,"NO",198
"6:1","12","6","30","2","0",84,144,151,12,51.484,58.072,"122.673928",0.416666666666667,1.80357142857143,2,0.941176470588235,0,"NO",199
"6:1","13","6","30","2","0",84,146,153,12.1666666666667,81.252,83.814,"253.980576",0.424657534246575,2.10714285714286,3,0.845238095238095,0,"NO",200
"6:2","11","6","30","5","0",64,65,67,5.41666666666667,57.218,36.6,"96.89484",0.0153846153846154,1,1,1,0,"NO",201
"6:2","12","6","30","6","0",84,84,93,7,57.706,60.756,"144.44922",0,3.3015873015873,6,0.733333333333333,0,"NO",202
"6:4","14","6","30","3","0",34,42,49,3.5,74.542,64.904,"203.002876",0.19047619047619,0,0,0,0,"NO",203
"6:6","14","6","30","2","0",59,58,62,4.83333333333333,86.498,52.582,"133.182032",0.0172413793103448,1.9047619047619,4,1,0,"NO",204
"6:6","15","6","30","2","0",52,51,55,4.25,78.202,41.602,"94.632472",0.0196078431372549,1.44827586206897,3,1,0,"NO",205
"6:9","12","6","30","3","0",52,57,60,4.75,145.668,68.198,"268.075724",0.087719298245614,1.64,4,0.545454545454545,0,"NO",206
"7:4","3","7","0","0","1",7,6,6,0.5,8.662,9.76,"20.673876",0.166666666666667,0,0,0,0,"NO",207
"7:4","5","7","0","0","1",10,9,9,0.75,6.222,10.492,"14.943536",0.111111111111111,0,0,0,0,"NO",208
"7:4","14","7","0","3","0",8,7,14,0.583333333333333,11.712,14.152,"29.976376",0.142857142857143,1,1,1,0,"NO",209
